hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"<$50,000 per year",39000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,42
"$50,000+ per year",87000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,69
"<$50,000 per year",49000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",27500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,76
"<$50,000 per year",14000,One or more,Not employed at this time,NA,No,Yes,NA,51
"$50,000+ per year",69000,One or more,Not employed at this time,NA,Yes,Yes,NA,35
"$50,000+ per year",161000,None,Employed part-time,Do all of your work from home,No,No,No,40
"$50,000+ per year",68000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,41
"$50,000+ per year",123000,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",158000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,26
"$50,000+ per year",204000,None,Not employed at this time,NA,No,No,NA,54
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,Yes,NA,20
"<$50,000 per year",48500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,19
"$50,000+ per year",95000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,74
"$50,000+ per year",139000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,69
"<$50,000 per year",39500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,32
"$50,000+ per year",55000,None,Not employed at this time,NA,No,No,NA,29
"<$50,000 per year",45000,One or more,Not employed at this time,NA,No,No,NA,44
"<$50,000 per year",35500,One or more,Employed full time,Do all of your work from home,No,Yes,No,56
"<$50,000 per year",47000,None,Not employed at this time,NA,No,No,NA,51
"<$50,000 per year",27000,One or more,Not employed at this time,NA,No,Yes,NA,40
"$50,000+ per year",203000,None,Employed full time,Do all of your work from home,Yes,No,No,30
"<$50,000 per year",43000,One or more,Not employed at this time,NA,Yes,Yes,NA,36
"<$50,000 per year",8000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,60
"<$50,000 per year",37000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",53000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",192000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,42
"$50,000+ per year",150000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",48500,One or more,Employed full time,Do all of your work from home,No,Yes,No,66
"<$50,000 per year",47000,None,Not employed at this time,NA,Yes,No,NA,43
"<$50,000 per year",44000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,Yes,33
"<$50,000 per year",45000,One or more,Not employed at this time,NA,Yes,Yes,NA,69
"<$50,000 per year",13500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,Yes,44
"<$50,000 per year",11500,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,63
"<$50,000 per year",7500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,37
"$50,000+ per year",850000,None,Not employed at this time,NA,Yes,No,NA,55
"$50,000+ per year",66000,None,Not employed at this time,NA,Yes,No,NA,58
"$50,000+ per year",216000,None,Not employed at this time,NA,No,No,NA,68
"$50,000+ per year",159000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"<$50,000 per year",27000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,39
"$50,000+ per year",136000,None,Not employed at this time,NA,No,No,NA,56
"$50,000+ per year",150000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,55
"<$50,000 per year",11000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,46
"<$50,000 per year",13000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,36
"<$50,000 per year",35500,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,68
"<$50,000 per year",7000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"<$50,000 per year",49000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,64
"<$50,000 per year",1500,One or more,Not employed at this time,NA,Yes,Yes,NA,34
"<$50,000 per year",1000,One or more,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",24500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,62
"$50,000+ per year",123000,None,Not employed at this time,NA,No,No,NA,56
"$50,000+ per year",95000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,64
"$50,000+ per year",124000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,60
"<$50,000 per year",500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,50
"<$50,000 per year",20500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,47
"<$50,000 per year",35000,One or more,Not employed at this time,NA,No,Yes,NA,48
"$50,000+ per year",186000,None,Employed full time,Do all of your work from home,No,No,No,38
"<$50,000 per year",34500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,48
"$50,000+ per year",178000,None,Employed full time,Do all of your work from home,Yes,No,No,70
"$50,000+ per year",70000,None,Employed part-time,Do all of your work from home,No,No,No,28
"<$50,000 per year",37000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,28
"$50,000+ per year",224000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,36
"$50,000+ per year",195000,None,Not employed at this time,NA,Yes,No,NA,38
"$50,000+ per year",168000,None,Employed full time,Do all of your work from home,No,No,No,50
"$50,000+ per year",55000,None,Not employed at this time,NA,Yes,No,NA,55
"$50,000+ per year",246000,None,Not employed at this time,NA,Yes,No,NA,61
"$50,000+ per year",97000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,46
"$50,000+ per year",89000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,70
"<$50,000 per year",2500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,62
"$50,000+ per year",153000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,32
"$50,000+ per year",149000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,36
"$50,000+ per year",205000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"<$50,000 per year",32000,One or more,Not employed at this time,NA,No,No,NA,59
"$50,000+ per year",218000,One or more,Not employed at this time,NA,Yes,No,NA,26
"<$50,000 per year",46500,One or more,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",43000,None,Not employed at this time,NA,No,No,NA,57
"$50,000+ per year",134000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,61
"$50,000+ per year",65000,One or more,Not employed at this time,NA,No,No,NA,25
"<$50,000 per year",1500,None,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",17500,None,Not employed at this time,NA,No,No,NA,53
"$50,000+ per year",131000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"<$50,000 per year",27500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,42
"$50,000+ per year",105000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,29
"<$50,000 per year",35500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,65
"$50,000+ per year",650000,One or more,Employed full time,Do all of your work from home,Yes,No,No,39
"$50,000+ per year",60000,One or more,Not employed at this time,NA,Yes,Yes,NA,23
"$50,000+ per year",70000,None,Employed full time,Do all of your work from home,No,No,No,25
"$50,000+ per year",105000,None,Not employed at this time,NA,Yes,No,NA,57
"<$50,000 per year",49500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,65
"<$50,000 per year",47500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,64
"$50,000+ per year",62000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,88
"<$50,000 per year",15500,None,Not employed at this time,NA,No,No,NA,69
"$50,000+ per year",217000,One or more,Not employed at this time,NA,Yes,Yes,NA,49
"$50,000+ per year",82000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,48
"<$50,000 per year",45000,None,Not employed at this time,NA,Yes,No,NA,61
"$50,000+ per year",67000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,19
"$50,000+ per year",146000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,48
"$50,000+ per year",54000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"$50,000+ per year",650000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,19
"<$50,000 per year",14500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,34
"$50,000+ per year",106000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,46
"$50,000+ per year",227000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,35
"$50,000+ per year",139000,One or more,Not employed at this time,NA,Yes,Yes,NA,58
"$50,000+ per year",120000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,45
"$50,000+ per year",216000,One or more,Not employed at this time,NA,No,No,NA,46
"<$50,000 per year",35000,One or more,Not employed at this time,NA,Yes,No,NA,18
"$50,000+ per year",90000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,72
"$50,000+ per year",164000,None,Not employed at this time,NA,No,No,NA,43
"$50,000+ per year",57000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,53
"<$50,000 per year",2000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,58
"$50,000+ per year",62000,None,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,23
"<$50,000 per year",0,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,59
"<$50,000 per year",32500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,No,45
"<$50,000 per year",43500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,51
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,No,NA,61
"$50,000+ per year",97000,One or more,Not employed at this time,NA,Yes,Yes,NA,32
"$50,000+ per year",79000,None,Not employed at this time,NA,No,No,NA,68
"<$50,000 per year",22500,None,Not employed at this time,NA,No,No,NA,44
"$50,000+ per year",69000,One or more,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",12000,One or more,Not employed at this time,NA,Yes,No,NA,40
"<$50,000 per year",24000,One or more,Employed full time,Do all of your work from home,No,No,No,52
